date,rating,title,review_text,platform
2025-02-10,2,KYC stuck for weeks,"Submitted my KYC documents 3 weeks ago and still no update. No response from support either. Very frustrating.",Play Store
2025-02-11,5,Best investment app,"Groww has made investing so simple. SIP setup took less than 2 minutes. Highly recommend.",Play Store
2025-02-11,1,App keeps crashing,"Every time I open the app it crashes within 30 seconds. Reinstalled twice, same issue. Pixel 7.",Play Store
2025-02-12,3,KYC process confusing,"The KYC steps are not clear. Kept getting rejected without a proper reason. Finally done after 4 attempts.",App Store
2025-02-13,5,Smooth SIP experience,"Set up 3 SIPs in one go. Interface is clean, fund selection is easy. Love the returns tracker.",App Store
2025-02-14,2,Customer support useless,"Raised a ticket 10 days ago. Got one automated reply and nothing since. Issue still unresolved.",Play Store
2025-02-15,4,Good app minor bugs,"Overall great experience. Sometimes the portfolio page takes too long to load but otherwise solid.",Play Store
2025-02-17,1,Money deducted no investment,"SIP amount got deducted from my bank but the investment never showed up. Very scary.",Play Store
2025-02-18,5,Great for beginners,"As someone new to mutual funds, Groww made everything easy to understand. Love the fund comparison feature.",App Store
2025-02-19,2,Statement download broken,"The account statement PDF never loads. Tried 5 times over 2 days. Need this urgently for tax filing.",App Store
2025-02-20,3,Average support response,"Support finally replied after 7 days. Issue got resolved but the wait time is too long.",Play Store
2025-02-21,5,Seamless withdrawals,"Requested redemption on Monday, money in account by Wednesday. Faster than expected.",Play Store
2025-02-22,1,KYC rejected no reason,"KYC got rejected for the third time. The app just says 'rejected' with no explanation. Extremely frustrating.",App Store
2025-02-24,4,Nice portfolio view,"The portfolio dashboard is clean and easy to read. Would love a dark mode option.",Play Store
2025-02-25,2,App slow on older phones,"App is extremely laggy on my older Android. Takes 10+ seconds to load any page.",Play Store
2025-02-26,5,SIP pause feature is great,"Loved that I could pause my SIP during a tight month. Very user friendly.",App Store
2025-02-27,1,Withdrawal pending for 8 days,"Requested withdrawal 8 days ago. Still showing as processing. Support not helping.",Play Store
2025-02-28,3,Okay experience,"App works fine most of the time but occasional glitches break the flow. Needs polishing.",App Store
2025-03-01,5,Best MF platform in India,"Compared to other apps, Groww is the easiest and most reliable. Zero commission is a big plus.",Play Store
2025-03-02,2,OTP not received,"Login OTP is not coming consistently. Had to try 4-5 times to finally log in. Very annoying.",Play Store
2025-03-03,4,Fund discovery is excellent,"The way Groww categorizes and recommends funds is really helpful. Good filters too.",App Store
2025-03-04,1,Lost trust after failed SIP,"My SIP failed three months in a row due to a technical glitch. No compensation or apology from Groww.",Play Store
2025-03-05,5,Quick KYC this time,"Got my KYC done in under 24 hours. Smooth process, clear instructions. Happy.",App Store
2025-03-06,2,Portfolio not updating,"My portfolio value hasn't updated since yesterday. Shows stale NAV data. Unreliable.",Play Store
2025-03-07,3,Support improved recently,"Used to be terrible but support has gotten faster. Still not great but moving in the right direction.",Play Store
2025-03-08,5,Excellent onboarding,"Signed up and made my first investment in 15 minutes. The guided onboarding is excellent.",App Store
2025-03-10,1,App crash during payment,"App crashed exactly when I was confirming a lumpsum payment. Money got deducted but no confirmation.",Play Store
2025-03-11,4,Reliable for long term investing,"Been using for 2 years. Very reliable for regular SIPs. Minor UI issues but nothing major.",App Store
2025-03-12,2,Statement section broken,"Account statement section keeps throwing an error. Need this for my CA. Please fix.",Play Store
2025-03-13,5,Instant redemption is fantastic,"The instant redemption feature for liquid funds is a lifesaver. Money in 30 minutes.",App Store
2025-03-14,1,KYC video call failed multiple times,"The KYC video verification keeps dropping mid-call. Done it 4 times. Still not verified.",Play Store
2025-03-15,3,Decent app needs work,"Good concept but the execution has rough edges. Support and stability need improvement.",App Store
2025-03-17,5,Love the SIP tracker,"The SIP tracker with projected returns is really motivating. Keeps me disciplined.",Play Store
2025-03-18,2,Withdrawal took too long,"Took 6 working days for redemption to hit my account. Not acceptable for an emergency.",App Store
2025-03-19,4,Smooth experience mostly,"Very smooth 95% of the time. Occasional server errors during market hours.",Play Store
2025-03-20,1,Support never responds,"Three tickets raised in two weeks. Zero resolution. Just automated replies. Pathetic.",Play Store
2025-03-21,5,Best zero commission platform,"Zero commission and clean UI. No other app comes close for mutual fund investing.",App Store
2025-03-22,2,App freezes on portfolio page,"Portfolio page freezes every single time I scroll. Very basic bug that should be fixed.",Play Store
2025-03-24,3,KYC could be simpler,"KYC process works but it's unnecessarily complicated. Too many document uploads for a simple verification.",App Store
2025-03-25,5,Great for SIP automation,"Set up auto-pay for SIP and it's been running flawlessly for 6 months. Zero issues.",Play Store
2025-03-26,1,Wrong NAV applied,"My lumpsum got processed at the wrong NAV. Raised a complaint, no response for 5 days.",Play Store
2025-03-27,4,Good app with room to improve,"Solid fundamentals. Would love better tax reporting and capital gains statements.",App Store
2025-03-28,2,Login issues persist,"Face ID login stopped working after the last update. Have to enter password every time now.",Play Store
2025-03-29,5,Excellent fund comparison,"The side-by-side fund comparison tool is brilliant. Helped me make a much better investment decision.",App Store
2025-03-31,1,SIP deducted not invested twice,"Two months in a row, SIP amount deducted but not invested. Had to follow up both times. Terrible.",Play Store
2025-04-01,3,Average customer support,"Support resolves issues eventually but the turnaround time of 7-10 days is too slow.",App Store
2025-04-02,5,Onboarding is top class,"From signup to first SIP in 20 minutes. The step-by-step guidance is really well done.",Play Store
2025-04-03,2,Statements not downloadable,"PDF statements refuse to download on iOS. This has been broken for over a month.",App Store
2025-04-04,4,Clean and simple UI,"Interface is minimal and easy to navigate. Perfect for everyday investors.",Play Store
2025-04-05,1,Withdrawal stuck for 2 weeks,"Redemption has been processing for 14 days. Support keeps saying it's under review. Unacceptable.",App Store
2025-04-06,5,Reliable and trustworthy,"2 years of using Groww. Never lost money to a technical glitch. Very trustworthy platform.",Play Store
2025-04-07,2,App crashes on iPhone 14,"Consistent crashes on iPhone 14 with latest iOS. Happens especially when switching between funds.",App Store
2025-04-08,3,Mixed experience,"Good for investing but the support and stability issues hold it back from being truly great.",Play Store
2025-04-09,5,Super fast KYC","Did KYC in the morning, approved by evening. Much better than my experience last year.",App Store
2025-04-10,1,Money stuck in limbo,"Withdrawal initiated 10 days ago. Neither invested nor returned to bank. Support unreachable.",Play Store
2025-04-11,4,Great SIP management,"Managing multiple SIPs is very easy. The pause and modify options are super helpful.",App Store
2025-04-12,2,Notification spam,"Getting too many promotional notifications. The opt-out settings don't seem to work.",Play Store
2025-04-13,5,Portfolio tracking is excellent,"Real-time portfolio tracking with XIRR calculation is exactly what I needed. Great feature.",App Store
2025-04-14,1,KYC approved then rejected,"KYC was approved, then randomly rejected 3 days later without explanation. Now I can't invest.",Play Store
2025-04-15,3,Okay but not great,"Does the basics well but lacks advanced features that serious investors need.",App Store
